title,salary,address,keyword,work_experience,education,company,welfare,requirements,url
数据挖掘工程师,2万-3万,北京,"创业公司
五险一金
周末双休
餐补
定期体检
补充医疗保险
员工旅游
带薪年假",3-5年,本科,彩虹无线(北京)新技术有限公司,"创业公司
五险一金
周末双休
餐补
定期体检
补充医疗保险
员工旅游
带薪年假","职位描述
岗位职责:
1、基于车联网海量数据，发现车联网数据规律，挖掘车联网数据价值并建立分析模型；
2、对车联网海量数据进行提炼、分析、归纳用户/车辆属性、行为等信息，输出分析报告；
3、配合大数据平台，对于上线模型进行工程化代码实现或建议；
4、根据业务形态和分析，逐渐积累可供业务产品使用的数据模型逻辑，推进产品实施，确保产品不断完善；
职位要求：
1、具有数据分析、数据挖掘、数据可视化相关产品经验；
2、熟悉常用数据挖掘算法（如分类、聚类、回归、关联规则、神经网络等）及其原理，并具备相关项目经验；
3、熟练使用SQL访问和处理数据系统中的数据，掌握R语言\Python等任意一种数据分析语言。
4、熟悉常用分布式计算和存储框架hadoop/HDFS/Hive/Spark等，具备相关项目经验优先；
5、对时空数据、轨迹数据、地理信息数据感兴趣及有经验者优先；
6、有车联网驾驶行为分析挖掘经验优先，能够在压力下工作。",https://jobs.zhaopin.com/CC388068820J00042276311.htm
高级大数据工程师,2万-3万,上海,"五险一金
绩效奖金
餐补
带薪年假
弹性工作
补充医疗保险
定期体检",5-10年,本科,彩虹无线(北京)新技术有限公司,"五险一金
绩效奖金
餐补
带薪年假
弹性工作
补充医疗保险
定期体检","职位描述
岗位职责：
1、根据业务需求研发大数据程序
2、解决大数据组件常见问题
3、与大数据相关的周边服务和工作
岗位要求：
1、熟悉linux, 会shell和java编程, 会python 或scala 编程。
2、熟悉大数据生态圈相关组件(hadoop、spark、hbase、hive、kafka、storm，cdh, elk)等。
3、熟悉常见数据结构和算法，计算机基础知识扎实。
4、思维敏捷，有独立分析和解决问题的能力; 有团队精神和表达沟通能力。
5、硕士二年以上或本科五年以上大数据技术工作经验。",https://jobs.zhaopin.com/CC388068820J00119813511.htm
大数据工程师,4千-8千,郑州,"五险一金
加班补助
通讯补助
带薪年假
定期体检
免费班车
节日福利",1-3年,本科,河南雪城软件有限公司,"五险一金
加班补助
通讯补助
带薪年假
定期体检
免费班车
节日福利","职位描述
岗位职责：
1、参与环保大数据平台的建设；
2、参与智能设备的数据采集，网络数据爬取，第三方数据采集，处理，存储、分析流程规范制定和开发
3、参与大数据平台的服务框架的设计与开发；
4、参与实施公司大数据产品，及公司的大数据研发进行有效技术交流，解决各种技术问题；
具体要求
1、本科及以上学历，计算机相关专业，2年相关工作经验及以上；
2、至少1年以上Hadoop分布式平台工作经验，熟练掌握Hive、Hbase、Hdfs、Spark、Map/Reduce、Storm中两种及以上开发技术；
3、熟练地应用java、shell，python,scala等开发语言至少2种；
4、熟悉Linux操作系统，熟练掌握linux系统软件安装，集群部署；
5、拥有海量数据开发及数据建模分析经验者优先；
6、责任心强，能独立承担工作，抗压能力强，代码规范。",https://jobs.zhaopin.com/CC238277814J00231532806.htm
大数据研发工程师,2万-3万,北京,"创业公司
五险一金
定期体检
补充医疗保险
弹性工作
带薪年假
节日福利
员工旅游",5-10年,本科,彩虹无线(北京)新技术有限公司,"创业公司
五险一金
定期体检
补充医疗保险
弹性工作
带薪年假
节日福利
员工旅游","职位描述
岗位职责：
1、根据业务需求研发大数据程序
2、解决大数据组件常见问题
3、与大数据相关的周边服务和工作
岗位要求：
1、熟悉linux, 会shell和java编程, 会python 或scala 编程。
2、熟悉大数据生态圈相关组件(hadoop、spark、hbase、hive、kafka、storm，cdh, elk)等。
3、熟悉常见数据结构和算法，计算机基础知识扎实。
4、思维敏捷，有独立分析和解决问题的能力; 有团队精神和表达沟通能力。
5、硕士一年以上或本科两年以上大数据技术工作经验。",https://jobs.zhaopin.com/CC388068820J00050865811.htm
数据分析助理,4.5千-6千,南京,"五险一金
带薪年假
高温补贴
节日福利
周末双休
定期体检
绩效奖金
加班补助",1-3年,大专,南京太亚科技股份有限公司,"五险一金
带薪年假
高温补贴
节日福利
周末双休
定期体检
绩效奖金
加班补助","职位描述
技能要求：
数据分析
大数据
项目管理
数据库
工作职责：
1、 日常项目数据分析统计工作；
2、 完成数据分析过程中的数据提取、数据分析；
3、 协助大数据工程师进行后台数据库结构设计，完成产品后台相关文档的编写;
4、  协助完成领导交代的临时性任务。
任职资格：
1、  大专及以上学历，计算机、统计学或其他理工专业毕业；
2、  1-2年工作经验，有过相关行业实习经验的应届生亦可；
3、  对互联网有着浓厚的兴趣，富有团队精神并具创造力；
4、  有较强的沟通能力、严谨的逻辑思维以及数据敏感性；
5、  形象气质佳。",https://jobs.zhaopin.com/CC147127320J00314227505.htm
高级大数据开发,1.5万-3万,北京,"五险一金
绩效奖金
交通补助
餐补
通讯补助
带薪年假",5-10年,本科,中电数据服务有限公司,"五险一金
绩效奖金
交通补助
餐补
通讯补助
带薪年假","职位描述
技能要求：
Python
Hadoop
岗位职责：
1. 独立完成模块的设计和开发；
2. 参与规划与设计产品框架；
3. 编写核心代码，保证产品的可移植性、扩展性与完整性；
4. 协助中/初级大数据开发工程师完成项目的设计和开发；
5.协助大数据架构师进行技术预研；
6.协助大数据架构师进行开发框架的确定和参与代码的开发；
7.协助大数据架构师根据产品需求和技术发展提出优化方案，完成技术原型;
8.根据数据及业务的特性，负责调整大数据存储的策略，并进行优化；
9.根据数据及业务的特点，负责对大数据组件本身运行状态进行调整优化;
10.在业务技能和工作方法上，指导中级/初级大数据开发工程师；
11.根据自己的优势，设计和落实内部知识分享；
任职条件：
1. 精通Java或者Python及相关的常用功能库；精通Linux系统及其原理，精通TCP/IP、HTTP协议、网络编程、多线程编程；
2. 精通计算机原理，有扎实的数据结构和算法基础，熟练掌握常用设计模式；
3. 精通HDFS、Yarn等常用Hadoop生态技术；
4. 有基于Spark(Sql+CoreAPI)平台上开发经验两年及以上；精通使用Sqoop工具；精通Hive的Sql语法，并了解Impala技术；
5. 悉分布式缓存，消息中间件等技术，并有构建高可用高并发应用的经验；
6. 熟悉PostgreSQL、MySQL等常用关系型数据库及其调优；
7.快速的学习能力和优秀的分析和解决问题能力，有团队意识；
8. 具备较强的系统架构设计能力；
9. 负责过至少一个数据量10TB以上大数据系统的设计和开发；
10.有很强的逻辑思考能力、抽象提炼能力、分析设计能力；以及较强的沟通协调能力、组织能力；
11.有开源项目开发经验者优先；
12.有在大型互联网公司如：阿里、腾信、滴滴、美团、百度、京东等企业工作经验者优先。",https://jobs.zhaopin.com/CC201735932J00121693515.htm
普工/技工7500大数据分析工程师,8千-1万,北京,"五险一金
年底双薪
绩效奖金
年终分红
加班补助
房补
包住
弹性工作",经验不限,学历不限,小呆呆科技(北京)有限公司,"五险一金
年底双薪
绩效奖金
年终分红
加班补助
房补
包住
弹性工作","职位描述
岗位职责：
1、收集、统计各类数据；
2、根据不同需求进行数据的整理和分析，出具简单的分析报告；
3、分析数据变动中发现的问题点，及时分析并提出原因分析报告
4、大专及以上学历，工作经验不限；
5、对大数据分析有兴趣；
6、愿意与企业一起发展成长。

公司福利：
1、签订正式劳动合同，从试用期开始缴纳五险一金；
2、日常补贴（话费、工作餐、交通费补贴）;
3、薪资保障:享受优质的奖励机制，高底薪+绩效；
4、 晋升管道畅通，一年有四次加薪晋升机会；
5、 正式员工享受十三薪及年终奖；
6、 朝九晚六，周末双休;
7、 每季度员工旅游+员工生日会+节日礼物；
8、 每年享受国家规定的带薪年假、法定节假日等福利；
9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；
10、 提供员工宿舍；
11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",https://jobs.zhaopin.com/CZ528035030J00102661413.htm
大数据开发工程师助理+ 双休,6千-8千,杭州,"五险一金
年底双薪
绩效奖金
加班补助
餐补
带薪年假
包住
补充医疗保险",经验不限,中专,杭州非寻装饰设计工程有限公司,"五险一金
年底双薪
绩效奖金
加班补助
餐补
带薪年假
包住
补充医疗保险","职位描述
岗位职责：
1、负责大数据平台核心模块设计，搭建与开发； 
2、基于大数据平台进行应用逻辑开发； 
3、不断研究大数据领域技术并在项目中合理采用； 
4、掌握先进技术方向、产品版本的技术路线； 
任职要求：1、大专及以上学历，计算机、通信、信息工程等相关专业，或对计算机有浓厚兴趣及特长的其他专业； 
2、有Java开发语言基础
3、了解大数据技术包括Hadoop、Spark、Storm、Hive、HBase、kylin、Zookeeper等，对分布式数据处理和数据存储设计有很强的理解和优化能力； 
4、熟悉Linux操作系统，熟练使用Shell或Python完成相关工作；
公司福利：
1、工作时间早8.30-晚5.30，双休
2、 法定假日休息，带薪年假
3、签订正式劳动合同，从试用期开始缴纳五险，转正交一金；
4、日常补贴（话费、工作餐、交通费补贴）;
5、正式员工享受十三薪及年终奖；
6、待遇：实习助理底薪3500起，转正4000起+项目奖金
7、每年享受国家规定的带薪年假、法定节假日等福利；
8、年度体检",https://jobs.zhaopin.com/CC837627760J00291074801.htm
大数据研发工程师,1万-2万,杭州,"五险一金
定期体检
高温补贴
餐补
周末双休
交通补助
绩效奖金",1-3年,本科,杭州中软安人网络通信股份有限公司,"五险一金
定期体检
高温补贴
餐补
周末双休
交通补助
绩效奖金","职位描述
1.     职位名称：大数据研发工程师
工作职责：
参与税务、市场监管、12345等行业产品业务场景分析和实现；参与知识图谱生命周期各环节的规划设计，包括知识建模、知识获取、知识融合、知识存储、知识计算和知识应用。
 岗位要求：
l  计算机、数学、统计或相关专业本科及以上学历，有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关开发经验，有Spark/Flink的开发经验尤佳；
l  较为丰富的数据仓库及数据平台的架构经验，精通数据仓库建模及ETL设计开发；
l  熟悉Oracle、MySQL、Hive分布式计算框架，有海量数据处理经验者优先；
具备一定的Java、Python语言的开发能力，具备机器学习算法能力尤佳。",https://jobs.zhaopin.com/CC120037800J00318828705.htm
9k大数据分析师工程师,8千-1万,北京,"14薪
五险一金
包住
包吃",无经验,学历不限,北京联科数创科技有限公司,"14薪
五险一金
包住
包吃","职位描述
岗位职责：
1.严格执行公司各项制度，并定期整理金融数据，向上级领导账户分析结果；
2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；
3.配合其他部门有关工作；
4.遵守公司的各项管理制度，承办领导交办的其他工作。


员工具备：
1、不管你来自哪里，学历是什么，我们希望你正直，待人真诚。
2、无论你年龄大小，我们希望你有强烈的成功欲望，证明自己存在的价值。
3、你一定要能吃苦，要勤奋，因为勤奋+思考才容易更快的成长。
4、你一定要有团队意识，一个人可以走的很快，但不可能走得很远。
5、你要懂得自律，如果现在还不能自律，那就让团队和环境来帮助你。
6、拥有超强的执行力， 一流的创意+三流的执行永远比不上三流创意+一流的执行。

薪酬福利：
1、薪酬：7.5K底薪+高额提成+交通补助+奖金+带薪年假+节日福利+生日福利+社会保险
2、普通员工平均月收入可达到10000元/月
3、享有国家规定法定假日及年假、婚假、产育假等假期制度
4、公司定期举办各种活动，如员工聚餐、员工生日聚餐、运动会、拓展训练、团队旅游、企业年会等。",https://jobs.zhaopin.com/CZ808308570J00058465911.htm
大数据研发工程师,2万-3万,北京,"五险一金
绩效奖金
餐补
带薪年假
弹性工作
补充医疗保险
定期体检",3-5年,硕士,中科星图股份有限公司,"五险一金
绩效奖金
餐补
带薪年假
弹性工作
补充医疗保险
定期体检","职位描述
岗位职责：
1.   负责基于Hadoop技术生态设计开发大数据产品，
2.   解决团队在大数据开发及管理中遇到的技术问题
 岗位要求：
1.   熟悉Hbase及phoenix应用，并有相关项目研发经历
2.   熟悉hadoop生态圈产品，能够使用Mapreduce技术实现分布式应用，
3.   精通Hadoop，对分布式计算原理有较深的理解，熟悉Mapreduce编程 ,了解Hadoop集群管理及优化
4.   精通Java编程，熟悉Linux系统，并能够完成linux上代码开发与调优
 加分项：
1.   看过Hbase源码者优先
2.   有Hbase性能调优经验者优先
3.   有过Hadoop、Hbase、kafka、MongoDB及Spark使用经验者
4.   熟练使用Mesos及Yarn等资源管理框架
5.   阅读或者修改过任何一个hadoop生态圈中的开源系统
6.   具备Geoserver开发经验，熟悉ArcGIS，以及地信行业开源软件者",https://jobs.zhaopin.com/CC142710115J00125553115.htm
9k大数据分析师定岗实习生（高薪急招）,8千-1万,北京,"五险一金
年底双薪
绩效奖金
年终分红
餐补
带薪年假
包住
房补",经验不限,学历不限,北京海中科技有限公司,"五险一金
年底双薪
绩效奖金
年终分红
餐补
带薪年假
包住
房补","职位描述
我们需要的是认可公司企业文化、能够融入大家庭的小伙伴。公司内员工大多数为80、90后，有共同的话题、无代沟、工作环境轻松愉快。如果你觉得自己亲切、活力，联科数据这个大家庭欢迎各位小伙伴的入！
 一、岗位要求
1、应往届大专及以上学历，有较强的学习能力、语言沟通能力；
2、有计算机语言基础者优先，如：C语言、JAVA、.Net、PHP等；
3、可接受入职前项目技能实习，项目实习期间无任何费用，参与
   项目有绩效工资，免费提供住宿。

二、就职待遇
1、项目实习期间，免费提供住宿。
2、实习结束，考核合格后由人事部签订正式劳动合同、享受国家规定的保险福利待遇（五险一金、带薪年假、各项补助等）。",https://jobs.zhaopin.com/CZ840256990J00159606111.htm
硬件工程师9k大数据分析师,8千-1万,北京,"五险一金
年底双薪
绩效奖金
年终分红
股票期权
餐补
定期体检
带薪年假",经验不限,学历不限,北京海中科技有限公司,"五险一金
年底双薪
绩效奖金
年终分红
股票期权
餐补
定期体检
带薪年假","职位描述
一、岗位职责：
1、完成软件系统代码的实现，编写代码注释和开发文档；
2、辅助进行系统的功能定义,程序设计； 
3、根据设计文档或需求说明完成代码编写，调试，测试和维护； 
4、分析并解决软件开发过程中的问题；
5、协助测试工程师制定测试计划，定位发现的问题； 
6、配合项目经理完成相关任务目标。
 
二、职位要求：
1、大专及以上学历，应届毕业生优先（有计算机基础可以放宽学历要求）。
2、有计算机基础，愿意深入大数据分析师并长期从事；
3、求知欲强，有较强的沟通能力，有较强的理解，逻辑分析能力，能够理解以及处理复杂逻辑；
4、有较强的团队合作精神，有责任心；
 三、福利
1、节假日礼品、购物卡的发放；员工生日时聚餐
2、五险一金、法定节假日正常休，如有加班，会有加班补助（每日工资的两倍）
3、公司不定期季度进行团建活动",https://jobs.zhaopin.com/CZ840256990J00116178911.htm
7.8k大数据分析工程师,8千-1万,北京,"五险一金
年底双薪
绩效奖金
年终分红
股票期权
餐补
定期体检
带薪年假",无经验,学历不限,北京海中科技有限公司,"五险一金
年底双薪
绩效奖金
年终分红
股票期权
餐补
定期体检
带薪年假","职位描述
 ·             大数据分析师工程师（可内训）
企业招聘：
上市公司从事大数据分析师工程师工作。
第一年工资专科：6000-10000元/月、本科以上：8000-12000元/月；
第二年工资专科：8000-12000元/月、本科以上：15000-20000元/月
【岗位方向】：
大数据分析师、
BI需求工程师、
DBA，
数据库管理员。
【工作内容】：
1、支持公司各业务部门的数据需求，从数据仓库中提取数据并反馈给业务部门；
2、抽象业务需求形成固化的报表，为公司凝练系统化的业务分析与决策支持系统；
3、配合其他分析师一起构建并完善公司各业务数据分析体系，帮助公司进行业务监控并参与重大战略决策分析；
4、负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位。
【福利待遇】：  
1、签订正式合同、六险一金等。
2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。
3、接受岗前内训，实训期间不用支付任何费用，并且每月享有项目提成补助（1000-3000元/月不等）。

无经验者，由公司项目经理带！
【任职要求】：  
1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。
2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；
3.    拥有出色的沟通能力和学习能力；
4.    拥有优秀的分析问题和解决问题能力；
5.    具备勇于创新，乐于接受挑战，承受压力的良好素质；
6.    性格积极开朗，坦诚正直。
  【温馨提示】：每日简历投递量非常大，欢迎主动与我联系。",https://jobs.zhaopin.com/CZ840256990J00115663611.htm
自动化8K大数据分析师（实习生）,8千-1万,北京,"14薪
包住
包吃
每年多次调薪
周末双休
餐补
不加班
年底双薪",经验不限,大专,北京联科数创科技有限公司,"14薪
包住
包吃
每年多次调薪
周末双休
餐补
不加班
年底双薪","职位描述
 ·             大数据分析师工程师（可内训）
企业招聘：
上市公司从事大数据分析师工程师工作。
第一年工资专科：6000-10000元/月、本科以上：8000-12000元/月；
第二年工资专科：8000-12000元/月、本科以上：15000-20000元/月
【岗位方向】：
大数据分析师、
BI需求工程师、
DBA，
数据库管理员。
【工作内容】：
1、支持公司各业务部门的数据需求，从数据仓库中提取数据并反馈给业务部门；
2、抽象业务需求形成固化的报表，为公司凝练系统化的业务分析与决策支持系统；
3、配合其他分析师一起构建并完善公司各业务数据分析体系，帮助公司进行业务监控并参与重大战略决策分析；
4、负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位。
【福利待遇】：  
1、签订正式合同、六险一金等。
2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。
3、接受岗前内训，实训期间不用支付任何费用，并且每月享有项目提成补助（1000-3000元/月不等）。

无经验者，由公司项目经理带！
【任职要求】：  
1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。
2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；
3.    拥有出色的沟通能力和学习能力；
4.    拥有优秀的分析问题和解决问题能力；
5.    具备勇于创新，乐于接受挑战，承受压力的良好素质；
6.    性格积极开朗，坦诚正直。
  【温馨提示】：每日简历投递量非常大，欢迎主动与我联系。",https://jobs.zhaopin.com/CZ808308570J00068406411.htm
大数据开发工程师,1万-1.5万,长沙,"五险一金
带薪年假
定期体检
节日福利
绩效奖金",3-5年,大专,湖南特能博世科技有限公司,"五险一金
带薪年假
定期体检
节日福利
绩效奖金","职位描述
技能要求：
数据架构
Hadoop
Spark
数据库开发
岗位职责：
1、大数据平台搭建、维护；
2、基于hadoop，对静态数据进行存储、计算、分析，结合公司具体业务实现推荐算法设计；
3、对数据进行深度挖掘，分析潜在的规律趋势，协助产品进行优化；
4、核心代码的编写以及系统性能优化。
岗位要求：                      
1、熟悉Java/Scala/Python 中一种或多种，有丰富的分布式编程经验；                  
2、 有hadoop和spark实际开发经验，能独立排查解决分布式系统问题，了解hadoop与spark各组件及其运行机制，如：MR、HDFS、Storm、Hbase、Zookeeper；
3、参与并成功部署过一个集群大数据项目；                    
4、熟悉常用的推荐算法，有推荐系统、数据挖掘、搜索引擎等领域的研发经验。",https://jobs.zhaopin.com/CC464258523J00301827705.htm
物联网大数据架构师,1.5万-3万,北京,"健身俱乐部
周末双休
五险一金
餐补
通讯补助
带薪年假
补充医疗保险
定期体检",3-5年,本科,北京源清慧虹信息科技有限公司,"健身俱乐部
周末双休
五险一金
餐补
通讯补助
带薪年假
补充医疗保险
定期体检","职位描述
技能要求：
数据架构
解决方案
Mongodb
云平台架构、分布式、微服务架构
大型分布式架构
Hadoop
岗位职责：
1. 负责物联网大数据系统的架构设计和核心开发
2. 负责完成核心代码技术攻坚
3. 根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档。
任职资格
1. 3年以上开发经验熟练掌握Java、Scala、Python中的至少一种开发语言
2. 参与过完整的大数据项目，有相关的大数据系统架构经验
3. 熟练掌握Hadoop、Kafka、Spark、Storm等分布式框架原理有相关的调优、运维、开发经验
4. 掌握至少一种时序数据库的原理和相关的使用
5. 具有Postgresql、MySql、MongoDB等其中一种数据库应用开发经验
6. 对技术有激情喜欢钻研能快速接受和掌握新技术有较强的独立、主动的学习能力良好的沟通表达能
7. 有物联网相关系统、可视化相关系统、微服务相关系统的设计和研发经验的优先考虑。",https://jobs.zhaopin.com/CC603166727J00122165912.htm
项目经理（大数据项目）,2.5万-4万,北京,"创业公司
五险一金
弹性工作
带薪年假
餐补
补充医疗保险
定期体检
节日福利",3-5年,本科,彩虹无线(北京)新技术有限公司,"创业公司
五险一金
弹性工作
带薪年假
餐补
补充医疗保险
定期体检
节日福利","职位描述
岗位职责：
1、负责软件项目全过程，包括立项、需求调研、计划、设计、研发、测试、上线交付等阶段的管理沟通；
2、了解敏捷开发、迭代开发、瀑布开发、增量开发和螺旋开发等模式；
3、负责风险跟踪与管理工作，及时识别风险并采取有力措施规避风险；
4、负责跨部门和跨公司的沟通与协调；
5、整理并解决项目执行过程中的各种问题，组织项目成员对问题进行分析和解决；
6、对公司项目管理流程提出建设性参考意见或建议。
任职要求：
1、本科及以上学历，具备3年以上互联网行业工作经验；
2、1年以上软件项目管理及团队合作经验；
3、熟悉手机app及互联网产品研发的全过程；
4、熟悉常用的项目管理工具readmine/禅道；
5、良好的沟通协调和学习能力，敏捷的思维辨证能力，优秀的团队合作精神；有工作热情，具有良好的沟通技巧和团队合作精神，抗压能力强；有敏捷开发或PMP经验者优。",https://jobs.zhaopin.com/CC388068820J00043709411.htm
机械设计8K大数据分析工程师,8千-1万,北京,"无试用期
免息房贷
年终分红
绩效奖金
年底双薪
五险一金",无经验,大专,北京联科博远教育科技有限公司,"无试用期
免息房贷
年终分红
绩效奖金
年底双薪
五险一金","职位描述


岗位职责：
1、负责线上服务器平台的搭建，保障服务稳定安全可用； 
2、负责网络、操作系统和应用中间件等故障分析处理，整理故障报告； 
3、研究服务架构，实施架构优化；
4、推进平台自动化管理， 实现高效分析。


任职要求：
1、统招本科或专科院校，大四实习生更佳。
2、有社会或校园社团工作经验，有良好的沟通表达能力。
3、熟练掌握计算机基础，熟练使用关系型数据库。
4、“北大青鸟”类培训机构背景勿扰。
5、性格抗压，有进取心。

工作时间：早10-晚7.六日双休。
欢迎您的加入！",https://jobs.zhaopin.com/CZ638945620J00078583613.htm
项目经理（体育大数据）,4千-6千,乌鲁木齐,"五险一金
绩效奖金
加班补助
交通补助",经验不限,大专,新疆添资教育投资有限公司,"五险一金
绩效奖金
加班补助
交通补助","职位描述
职责
1、公司软件项目实施、安装调试；
2、对教练进行系统维护、培训等服务；
3、青训队球员数据采集，并进行数据整理分析工作；
4、与教练进行沟通，及时掌握教练需要，了解教练状态。
要求
计算机专业、体育专业或对足球知识十分了解，有较强的沟通表达能力。",https://jobs.zhaopin.com/CZ516141280J00360513901.htm
数据运营专员,3千-6千,镇江,"每年多次调薪
五险一金
绩效奖金
餐补
带薪年假
定期体检
节日福利
周末双休",经验不限,大专,苏州药易供应链管理有限公司,"每年多次调薪
五险一金
绩效奖金
餐补
带薪年假
定期体检
节日福利
周末双休","职位描述
技能要求：
Excel熟练
1、负责医疗大数据/产品运营支持；
能够基于数据分析得到有价值的信息，为运营决策提供数据支持；
2.负责与合作伙伴日常沟通和关系维护，以及系统后台维护运营；
3.综合协调日常事务并完成上级交办的其他工作；
4、熟悉医院工作流程，有大医院、医疗行业背景优先。
任职要求：
1、大专毕业，23-30周岁，计算机技术、医药相关专业毕业;
2、工作认真细致，有责任心;
3、具有较好的沟通协调能力和问题解决能力;
4、应届毕业生也可。",https://jobs.zhaopin.com/CZ895877830J00167899108.htm
证券分析师（港股）（5K-8K）,5千-8千,广州,"五险一金
年底双薪
绩效奖金
带薪年假
节日福利
定期体检
每年多次调薪
周末双休",1-3年,本科,香港大数据财经(中国)研究院有限公司,"五险一金
年底双薪
绩效奖金
带薪年假
节日福利
定期体检
每年多次调薪
周末双休","职位描述
技能要求：
证券
股票
证券分析
岗位职责：
1、准确把握市场热点，及时获取并向市场部发布重大财经资讯，挖掘投资机会；
2、对盘面进行及时跟踪，能从独特角度，针对性的做出市场点评；
3、具备扎实的基本面分析和技术分析能力，对主题投资有较深入研究；
4、较强的逻辑思维能力，对公司经营及行业信息有较强的收集、调查及分析判断能力；
5、对投资有独到见解和分析方法，协助投资者提出优化资产流程的策略或建议。
 任职要求：
1、专科及以上学历，金融学、经济学、证券相关专业；
2、扎实的金融分析理论基础、熟悉股票市场、较好的文字功底以及较强的逻辑思维；
3、1年及以上同岗位工作经验，具备从业资格 （持投顾证/证券从业资格考试）；
4、热爱股票，炒股水平优秀者优先；
5、有做过投顾业务的优先。
 公司薪资福利待遇：
1、【工作时间】：周一至周五7.5小时工作制，朝九晚六，周末双休，法定节假日放假，不提倡加班，追求专业高效。
2、【工作环境】：
①、邻近地铁站五羊邨C出口、杨箕B出口，距离公交站南方报社站仅200米之遥，交通十分便利；
②、办公环境：宽敞明亮、舒适温馨，设有员工休闲区、吧台；
③、公司楼下及附近餐饮选择丰富，价格实惠，7-11、全家、喜士多等应有尽有。
3、【带薪休假】：
享有法定节日、带薪年假、带薪病假、婚假、产假、陪产假、哺乳假等假期
享有超长春节假期。
4、【五险一金】：转正后即五险一金，购买社保（医疗、养老、工伤、失业、生育）、住房公积金。
5、【薪资福利】：行业内有竞争力的薪酬+灵活的奖金和调薪制度+年终奖；
个性福利：下午茶、员工生日、婚庆喜事、特殊节日都会提供额外的惊喜奖励。
联系人：韩经理
公司地址：广州越秀区广州大道中307号富力东山新天地C栋2104（南方报业集团旁）
地理位置：（1）可乘地铁5号线到五羊邨C出口，直走约500米即到。（2）公交站：可乘B9、197、266到南方报社站1下，走约240米即到；(3)可通过“坐车网”具体查询：http://www.zuoche.com/）
（若当天确实没时间过来面试，有意应聘者，本周其它工作时间也可以携带个人简历亲临公司找韩经理参加面试。）",https://jobs.zhaopin.com/CC847062480J00332241701.htm
技术总监（BI/大数据产品）,2万-3万,天津,"五险一金
绩效奖金
年终分红
带薪年假
员工旅游
节日福利",3-5年,本科,天津锐网科技股份有限公司,"五险一金
绩效奖金
年终分红
带薪年假
员工旅游
节日福利","职位描述
技能要求：
BI/大数据
岗位职责：
1、根据公司战略，规划公司产品技术发展路线；
2、负责组织并指导技术团队开展架构设计、系统分析、产品开发等相关工作；
3、协调产品开发或实施的各个环节，把握公司项目的整体进度；
4、负责对行业新技术保持敏锐的感知，积极探索新技术在公司产品上的应用，对公司未来技术走向提出重要建议。
任职资格：
1、30-40岁。全日制本科及以上学历，计算机科学技术、软件工程相关专业；
2、3年以上BI/大数据相关产品研发经验；
3、熟悉数据分析与可视化所需要的语言与架构体系。如，精通Java，熟悉Scala、Python或Shell；熟悉HADOOP大数据平台架构，熟悉HDFS/HBase/Hive/MapReduce/Spark；对Echarts、Antv等可视化组件有所了解等；
4、对技术市场具有一定的敏锐度，能够从客户和业务的角度来进行技术实现，并能及时掌握市场发展动态，对公司技术发展能提供决策性的建议。",https://jobs.zhaopin.com/CC274047882J00124392314.htm
大数据开发工程师,9千-1.4万,长沙,"年底双薪
五险一金
餐补
带薪年假
节日福利",1-3年,本科,北京雷铭智信科技有限公司,"年底双薪
五险一金
餐补
带薪年假
节日福利","职位描述
技能要求：
MySQL
Hadoop
Oracle
数据库开发
Spark
1.2年以上大数据开发经验，有过大型项目经验优先；
2.熟练掌握Linux操作系统，了解shell等脚本编程；
3.掌握Spark、Strom、Spark Streaming、flink等一到两种流式离线处理架构；
4.熟悉Elastic、solr等其中一种数据库技术；
5.熟练掌握MySQL、Oracle等其中一种数据库技术；
6.熟悉Redis、MongoDB、memcache等其中一种NoSQL技术优先；
7.熟悉ActiveMQ、Kafka等其中一种消息队列技术优先；
8.熟悉Hadoop、HBase、Hive、Zookeeper等开源框架优先；
9.有责任心，工作积极主动，勤恳踏实，能承担一定的工作压力，具备良好的沟通能力和团队合作精神。",https://jobs.zhaopin.com/CC434355228J00137857613.htm
